ACCELEROMETER X (m/s²) ,ACCELEROMETER Y (m/s²) ,ACCELEROMETER Z (m/s²) ,GRAVITY X (m/s²) ,GRAVITY Y (m/s²) ,GRAVITY Z (m/s²) ,LINEAR ACCELERATION X (m/s²) ,LINEAR ACCELERATION Y (m/s²) ,LINEAR ACCELERATION Z (m/s²) ,GYROSCOPE X (rad/s) ,GYROSCOPE Y (rad/s) ,GYROSCOPE Z (rad/s) ,Activity
19.0893                ,-8.4613                ,-0.2955                ,7.9987           ,-5.6731          ,0.086            ,3.7186                       ,-0.2557                      ,-2.9624                      ,-0.3077             ,0.3445              ,-1.3709             ,       0
-0.0921                ,-3.1726                ,3.5471                 ,6.419            ,-7.3881          ,0.6184           ,-8.1653                      ,3.918                        ,-0.3492                      ,0.1888              ,-0.381              ,-0.8601             ,       0
1.4641                 ,-4.9466                ,-5.5863                ,4.6896           ,-8.3701          ,-2.0294          ,4.509                        ,2.3419                       ,-0.5155                      ,-0.8176             ,2.2133              ,2.7106              ,       0
8.7182                 ,-24.4274               ,-7.5855                ,-0.3293          ,-9.3428          ,2.9622           ,7.9521                       ,-8.3555                      ,-5.2472                      ,1.036               ,0.6958              ,1.6427              ,       0
-4.3965                ,-26.8334               ,-11.799                ,-0.745           ,-9.3583          ,-2.835           ,-1.7807                      ,12.9286                      ,3.291                        ,1.5386              ,-0.7303             ,0.357               ,       0
1.9382                 ,-12.1002               ,-3.2163                ,-3.1511          ,-9.0455          ,2.1024           ,0.0595                       ,0.9394                       ,-1.6248                      ,1.8022              ,0.9273              ,0.4313              ,       0
-4.6552                ,-9.8569                ,-15.687                ,-2.6794          ,-8.9616          ,-2.9462          ,0.1746                       ,7.2388                       ,-6.9356                      ,1.7165              ,-0.389              ,0.1712              ,       0
-1.1168                ,-10.4985               ,-1.4973                ,-3.3607          ,-8.889           ,2.421            ,-0.7547                      ,0.4754                       ,-3.5079                      ,2.171               ,2.1717              ,-0.4219             ,       0
-5.1987                ,-8.0303                ,-16.2329               ,-2.3039          ,-8.5252          ,-4.2643          ,-0.5818                      ,5.8663                       ,8.468                        ,-1.8945             ,-2.7532             ,-0.1251             ,       0
0.181                  ,-10.2377               ,-1.8852                ,-3.1619          ,-9.0201          ,2.1934           ,2.3634                       ,-0.8605                      ,-4.5721                      ,1.5827              ,-0.0727             ,0.4056              ,       0
-3.7334                ,-2.6267                ,3.5279                 ,-2.3067          ,-8.455           ,-4.4004          ,-0.2567                      ,6.4978                       ,7.663                        ,-1.8771             ,-1.948              ,-0.1274             ,       0
-3.1875                ,-9.1244                ,0.5378                 ,-2.4279          ,-9.4248          ,1.2035           ,2.913                        ,0.2177                       ,-5.8048                      ,0.8992              ,-2.6141             ,0.5916              ,       0
2.6228                 ,-9.1579                ,1.8114                 ,-1.4136          ,-9.059           ,-3.4795          ,-3.1982                      ,-1.6894                      ,4.8071                       ,-1.5262             ,-1.3297             ,-1.4115             ,       0
